year,month,import_val,export_val,import_kg,export_kg,import_val_growth,import_val_growth_5,export_val_growth,export_val_growth_5,wld_diversity,wld_diversity_eff,hs_diversity,hs_diversity_eff,eci,bra_id,ibge_id
2000,0,None,6708727.00,None,58044500,None,None,None,None,1,1.0,1,1.0,None,4mg000000,3101631
2001,0,None,3912760.00,None,39579000,None,None,-0.416766,None,2,1.98932,1,1.0,None,4mg000000,3101631
2002,0,None,7432656.00,None,72554064,None,None,0.899594,None,3,1.62619,2,1.01319,-0.0126745,4mg000000,3101631
2003,0,None,6398183.00,None,54124285,None,None,-0.139179,None,4,2.60468,3,1.04977,-0.0202477,4mg000000,3101631
2004,0,None,9152156.00,None,55641070,None,None,0.43043,None,4,1.70214,3,1.05366,-0.0282132,4mg000000,3101631
2005,0,None,3964212.00,None,16083785,None,None,-0.566855,-0.0998739,2,1.05573,2,1.05573,-0.0124217,4mg000000,3101631
2006,0,None,8001990.00,None,31487640,None,None,1.01856,0.153833,2,1.02805,2,1.02805,-0.013568,4mg000000,3101631
2007,0,None,63731.00,None,13792,None,None,-0.992036,-0.613952,1,1.0,1,1.0,-0.0301555,4mg000000,3101631
2008,0,None,4485194.00,None,8004085,None,None,69.377,-0.0685814,2,1.09458,2,1.09458,-0.0528868,4mg000000,3101631
2009,0,None,62487.00,None,11220,None,None,-0.986068,-0.631147,1,1.0,1,1.0,-0.0732095,4mg000000,3101631
2010,0,None,29206.00,None,5480,None,None,-0.532607,-0.62549,1,1.0,1,1.0,-0.0583144,4mg000000,3101631
2011,0,None,23145.00,None,3140,None,None,-0.207526,-0.689364,1,1.0,1,1.0,-0.100145,4mg000000,3101631
2012,0,None,15777.00,None,1970,None,None,-0.318341,-0.243629,1,1.0,1,1.0,-0.0978356,4mg000000,3101631
2004,0,None,4456.00,None,14,None,None,None,None,1,1.0,2,1.40536,-0.000112728,4mg000001,3102902
2005,0,None,4302.00,None,15,None,None,-0.0345601,None,1,1.0,1,1.0,-3.05362e-05,4mg000001,3102902
2006,0,None,895.00,None,9,None,None,-0.791957,None,1,1.0,1,1.0,-6.16135e-06,4mg000001,3102902
2007,0,None,643.00,None,8,None,None,-0.281564,None,1,1.0,1,1.0,-7.04895e-06,4mg000001,3102902
2009,0,205359.00,None,2550,None,None,None,None,None,0,None,0,None,None,4mg000001,3102902
2000,0,11946648.00,27834518.00,32318869,51406941,None,None,None,None,24,11.8214,10,2.50023,None,4mg000002,3105608
2001,0,1004364.00,23839359.00,122821,39035207,-0.915929,None,-0.143533,None,26,15.1173,10,2.59416,None,4mg000002,3105608
2002,0,483561.00,25920324.00,101768,44111997,-0.51854,None,0.0872911,None,28,14.2446,11,2.14101,0.233414,4mg000002,3105608
2003,0,628972.00,28505481.00,244649,49227178,0.300709,None,0.0997347,None,31,15.1844,16,2.60515,0.477194,4mg000002,3105608
2004,0,210305.00,46576952.00,41512,62566738,-0.665637,None,0.633965,None,51,15.4916,29,3.30239,0.124006,4mg000002,3105608
2005,0,1420871.00,54226402.00,219157,72698474,5.75624,-0.346777,0.164233,0.142682,57,18.0794,23,3.46364,0.381443,4mg000002,3105608
2006,0,4151504.00,45221874.00,52298746,59217640,1.9218,0.328198,-0.166054,0.136608,41,14.1396,13,2.4929,0.552169,4mg000002,3105608
2007,0,5340343.00,69188602.00,28007267,67243493,0.286363,0.616678,0.529981,0.216967,40,13.5838,11,2.86824,0.3148,4mg000002,3105608
2008,0,7213449.00,96830098.00,20611073,70695481,0.350746,0.62893,0.399509,0.277075,43,12.7722,7,2.74807,0.118551,4mg000002,3105608
2009,0,1408661.00,52898010.00,2217873,44453354,-0.804717,0.462822,-0.453703,0.0257786,39,14.8691,9,3.19011,0.0461926,4mg000002,3105608
2010,0,6919342.00,104947091.00,20940910,81498414,3.912,0.372467,0.983952,0.141174,36,13.268,23,3.4796,0.348902,4mg000002,3105608
2011,0,5637103.00,138216225.00,15841018,93762467,-0.185312,0.0630902,0.317009,0.25038,40,13.1293,17,3.12745,0.133265,4mg000002,3105608
2012,0,259202.00,86119758.00,21851,65727060,-0.954019,-0.453973,-0.37692,0.0447531,37,11.9452,17,3.29304,0.0828295,4mg000002,3105608
2013,0,540416.00,89092883.00,175839,80455248,1.08492,-0.404452,0.0345231,-0.0165177,46,20.331,25,4.73315,0.0817825,4mg000002,3105608
2014,0,2930374.00,67805983.00,655797,48789270,4.42244,0.157773,-0.238929,0.0509105,37,12.481,21,3.79783,0.0621673,4mg000002,3105608
2000,0,106912.00,None,132991,None,None,None,None,None,0,None,0,None,None,4mg000003,3105905
2001,0,1222949.00,None,327973,None,10.4388,None,None,None,0,None,0,None,None,4mg000003,3105905
2002,0,179939.00,None,83979,None,-0.852865,None,None,None,0,None,0,None,None,4mg000003,3105905
2003,0,32609.00,None,3188,None,-0.818778,None,None,None,0,None,0,None,None,4mg000003,3105905
2004,0,72031.00,None,138,None,1.20893,None,None,None,0,None,0,None,None,4mg000003,3105905
2005,0,54704.00,None,140,None,-0.240549,-0.125422,None,None,0,None,0,None,None,4mg000003,3105905
2006,0,34504.00,None,156,None,-0.36926,-0.510117,None,None,0,None,0,None,None,4mg000003,3105905
2007,0,194494.00,6015.00,53098,2220,4.63685,0.0156783,None,None,1,1.0,1,1.0,-0.000110573,4mg000003,3105905
2008,0,5149195.00,None,29675523,None,25.4748,1.7522,None,None,0,None,0,None,None,4mg000003,3105905
2009,0,527655.00,None,8572891,None,-0.897527,0.489245,None,None,0,None,0,None,None,4mg000003,3105905
2010,0,4657472.00,None,39365890,None,7.82674,1.43235,None,None,0,None,0,None,None,4mg000003,3105905
2011,0,5270382.00,None,35161655,None,0.131597,1.73397,None,None,0,None,0,None,None,4mg000003,3105905
2012,0,3256957.00,None,25136915,None,-0.382026,0.757038,None,None,0,None,0,None,None,4mg000003,3105905
2013,0,7788326.00,None,34690234,None,1.39129,0.0862779,None,None,0,None,0,None,None,4mg000003,3105905
2014,0,8863019.00,None,35215306,None,0.137988,0.758111,None,None,0,None,0,None,None,4mg000003,3105905
2000,0,1352582.00,None,88708326,None,None,None,None,None,0,None,0,None,None,4mg000006,3113206
2001,0,4992155.00,None,7591444,None,2.69083,None,None,None,0,None,0,None,None,4mg000006,3113206
2002,0,5118198.00,None,953055,None,0.0252482,None,None,None,0,None,0,None,None,4mg000006,3113206
2003,0,26018.00,None,38,None,-0.994917,None,None,None,0,None,0,None,None,4mg000006,3113206
2004,0,209853.00,None,21899,None,7.06569,None,None,None,0,None,0,None,None,4mg000006,3113206
2005,0,13584.00,15692389.00,1750,106519260,-0.935269,-0.601551,None,None,7,4.97989,6,3.64903,0.365954,4mg000006,3113206
2009,0,109260.00,None,21200,None,None,-0.122375,None,None,0,None,0,None,None,4mg000006,3113206
2010,0,476122.00,615.00,14774,11068,3.3577,1.03675,None,-0.868587,2,1.04001,1,1.0,-0.0635723,4mg000006,3113206
2011,0,111283.00,25250.00,4132,693,-0.766272,None,40.0569,None,1,1.0,1,1.0,0.000168346,4mg000006,3113206
2012,0,31916742.00,None,6309222,None,285.807,None,None,None,0,None,0,None,None,4mg000006,3113206
2013,0,12609553.00,None,3035081,None,-0.604924,None,None,None,0,None,0,None,None,4mg000006,3113206
2014,0,329198.00,None,7730,None,-0.973893,0.246807,None,None,0,None,0,None,None,4mg000006,3113206
2006,0,38139.00,None,25000,None,None,None,None,None,0,None,0,None,None,4mg000009,3154408
2009,0,422956.00,None,19035,None,None,None,None,None,0,None,0,None,None,4mg000009,3154408
2013,0,50912.00,None,2505,None,None,None,None,None,0,None,0,None,None,4mg000009,3154408
2011,0,None,582.00,None,3,None,None,None,None,1,1.0,1,1.0,2.8372e-06,4mg000100,3114600
2012,0,None,1277.00,None,8,None,None,1.19416,None,1,1.0,2,1.76337,-8.91218e-06,4mg000100,3114600
2013,0,None,2043.00,None,16,None,None,0.599843,None,2,1.98633,2,1.36264,1.61937e-06,4mg000100,3114600
2000,0,None,17.00,None,300,None,None,None,None,1,1.0,1,1.0,None,4mg000101,3130408
2001,0,24606451.00,None,2654686,None,None,None,None,None,0,None,0,None,None,4mg000101,3130408
2002,0,742316.00,None,45295,None,-0.969832,None,None,None,0,None,0,None,None,4mg000101,3130408
2003,0,4017777.00,None,143945820,None,4.41249,None,None,None,0,None,0,None,None,4mg000101,3130408
2004,0,1082679.00,None,104222889,None,-0.730528,None,None,None,0,None,0,None,None,4mg000101,3130408
2005,0,2172711.00,None,100651024,None,1.00679,None,None,None,0,None,0,None,None,4mg000101,3130408
2006,0,960963.00,None,20000635,None,-0.557712,-0.477205,None,None,0,None,0,None,None,4mg000101,3130408
2007,0,9161598.00,None,165025656,None,8.53377,0.653014,None,None,0,None,0,None,None,4mg000101,3130408
2008,0,11952530.00,634291.00,104611609,10567000,0.304634,0.24364,None,None,1,1.0,1,1.0,-0.00992477,4mg000101,3130408
2009,0,7137703.00,39312.00,135713244,504000,-0.402829,0.458182,-0.938022,None,1,1.0,1,1.0,-0.00168107,4mg000101,3130408
2010,0,7719752.00,None,79116827,None,0.0815457,0.288606,None,None,0,None,0,None,None,4mg000101,3130408
2011,0,6826697.00,None,49977504,None,-0.115684,0.480133,None,None,0,None,0,None,None,4mg000101,3130408
2012,0,10535807.00,None,106730298,None,0.543324,0.0283461,None,None,0,None,0,None,None,4mg000101,3130408
2013,0,3940351.00,None,31155743,None,-0.626004,-0.199032,None,None,0,None,0,None,None,4mg000101,3130408
2014,0,17143706.00,None,150324869,None,3.35081,0.191542,None,None,0,None,0,None,None,4mg000101,3130408
2000,0,2457793.00,439776.00,300477,205907,None,None,None,None,1,1.0,1,1.0,None,4mg000105,3138203
2001,0,2867876.00,5699753.00,581752,1934764,0.16685,None,11.9606,None,2,1.04246,2,1.04099,None,4mg000105,3138203
2002,0,2485481.00,18610648.00,180634,6566184,-0.133337,None,2.26517,None,2,1.01096,16,1.29553,0.0352776,4mg000105,3138203
2003,0,2690073.00,15892976.00,224269,6466343,0.0823148,None,-0.146028,None,2,1.00552,7,1.23689,0.0393667,4mg000105,3138203
2004,0,2493114.00,19898303.00,197304,7584310,-0.073217,None,0.252019,None,8,1.11321,18,1.23632,0.190685,4mg000105,3138203
2005,0,2557260.00,18741634.00,274646,6104122,0.0257293,0.00796608,-0.058129,1.11795,5,1.03638,12,1.27176,0.00950178,4mg000105,3138203
2006,0,7348501.00,20312984.00,4507855,6537590,1.87358,0.207057,0.0838427,0.289388,4,1.08203,6,1.44148,0.03384,4mg000105,3138203
2007,0,10979001.00,33119458.00,7764790,8347671,0.494046,0.345955,0.630458,0.122185,9,2.5314,18,1.15889,0.0167705,4mg000105,3138203
2008,0,10000462.00,53705799.00,790834,10736145,-0.0891282,0.300323,0.621578,0.275743,8,3.18103,7,1.19368,0.0172586,4mg000105,3138203
2009,0,5165436.00,42740224.00,400097,8928001,-0.48348,0.156839,-0.204179,0.16521,9,3.48824,3,1.31835,0.0162532,4mg000105,3138203
2010,0,11538506.00,49165243.00,1237632,9447306,1.23379,0.351683,0.150327,0.212747,9,3.17912,10,1.183,0.0198383,4mg000105,3138203
2011,0,11299808.00,55668127.00,1107865,9128324,-0.0206871,0.0898694,0.132266,0.223395,6,3.4005,24,1.23503,0.101118,4mg000105,3138203
2012,0,5922474.00,39260678.00,310089,6202798,-0.475878,-0.116131,-0.294737,0.0346058,5,3.74773,10,1.21646,0.0188401,4mg000105,3138203
2013,0,8348140.00,22552999.00,463923,3600755,0.40957,-0.035474,-0.425558,-0.159309,5,3.55904,7,1.17056,0.0121169,4mg000105,3138203
2014,0,7636393.00,25247594.00,305360,3879474,-0.0852582,0.081325,0.119478,-0.0999293,4,3.51473,6,1.08994,0.0132282,4mg000105,3138203
2010,0,None,23691.00,None,105112,None,None,None,None,1,1.0,1,1.0,-0.000540771,4mg000106,3138708
2011,0,None,2291869.00,None,6760764,None,None,95.7401,None,10,3.48888,2,1.19641,-0.0462122,4mg000106,3138708
2012,0,None,1395455.00,None,3807872,None,None,-0.391128,None,7,3.49959,1,1.0,-0.0104181,4mg000106,3138708
2013,0,None,1721114.00,None,4566745,None,None,0.233371,None,5,3.13142,1,1.0,-0.0222743,4mg000106,3138708
2014,0,None,1704561.00,None,4232349,None,None,-0.00961761,None,7,4.02689,1,1.0,-0.02165,4mg000106,3138708
2000,0,None,21101.00,None,6300,None,None,None,None,1,1.0,1,1.0,None,4mg000107,3144607
2001,0,None,9180.00,None,27000,None,None,-0.56495,None,1,1.0,1,1.0,None,4mg000107,3144607
2004,0,None,38400.00,None,38400,None,None,None,None,1,1.0,1,1.0,-4.69517e-05,4mg000107,3144607
2007,0,None,337304.00,None,237580,None,None,None,None,2,1.84169,2,1.84169,-0.00169017,4mg000107,3144607
2008,0,181008.00,5479658.00,46000,3681596,None,None,15.2455,None,4,2.47088,1,1.0,-0.0247822,4mg000107,3144607
2009,0,192303.00,4273244.00,1654,3513350,0.0624006,None,-0.220162,1.56617,3,1.39415,1,1.0,-0.0183164,4mg000107,3144607
2010,0,25437.00,2662085.00,8775,2325990,-0.867724,None,-0.377034,None,6,2.11491,1,1.0,-0.00626876,4mg000107,3144607
2011,0,4522.00,1762023.00,14,1323136,-0.822227,None,-0.338104,None,4,2.86991,2,1.94781,-0.00159792,4mg000107,3144607
2012,0,471969.00,3321292.00,6301,2406950,103.372,None,0.884931,0.58,2,1.10815,1,1.0,-0.00789814,4mg000107,3144607
2013,0,14097.00,1271895.00,57,1779790,-0.970132,-0.399814,-0.617048,-0.253311,2,1.54508,2,1.54508,-0.00412117,4mg000107,3144607
2014,0,25480.00,2963907.00,98,2436172,0.807477,-0.332513,1.33031,-0.07056,2,1.02166,2,1.02166,-0.00784804,4mg000107,3144607
2000,0,755125.00,246670.00,185211,27771,None,None,None,None,5,2.56955,6,2.39302,None,4mg000202,3123007
2001,0,1188132.00,279990.00,288061,33176,0.573424,None,0.135079,None,5,2.98714,6,2.01225,None,4mg000202,3123007
2002,0,121738.00,28431.00,29564,4410,-0.897538,None,-0.898457,None,1,1.0,1,1.0,-0.0527544,4mg000202,3123007
2003,0,19260.00,958.00,1300,42,-0.841791,None,-0.966304,None,1,1.0,1,1.0,-0.00287093,4mg000202,3123007
2004,0,None,15062.00,None,1160,None,None,14.7223,None,3,1.90679,1,1.0,-0.0182537,4mg000202,3123007
2005,0,196685.00,719496.00,32684,62180,None,-0.2359,46.769,0.238746,15,8.25647,5,1.3166,-0.0428019,4mg000202,3123007
2006,0,378796.00,1576230.00,20670,133353,0.925902,-0.204376,1.19074,0.412848,17,8.91286,6,1.09388,-0.0049566,4mg000202,3123007
2007,0,182683.00,2630050.00,25423,197818,-0.517727,0.084562,0.66857,1.47306,18,10.8498,2,1.00594,-0.00170087,4mg000202,3123007
2008,0,1726011.00,2179170.00,64331,137906,8.44812,1.45741,-0.171434,3.69229,20,9.06652,2,1.00069,-0.000887634,4mg000202,3123007
2009,0,528980.00,1541023.00,7417,107387,-0.693525,None,-0.292839,1.5234,20,10.2263,3,1.01336,-0.00135316,4mg000202,3123007
2010,0,2920839.00,1603720.00,140200,106966,4.52164,0.715328,0.0406853,0.17387,20,12.2721,1,1.0,-0.00182101,4mg000202,3123007
2011,0,980968.00,1870813.00,100487,115269,-0.664149,0.209623,0.166546,0.0348613,19,9.89609,2,1.02339,-0.00281319,4mg000202,3123007
2012,0,1435727.00,2149990.00,75128,124316,0.463582,0.51034,0.149228,-0.0395064,18,9.57013,2,1.01192,-0.00438075,4mg000202,3123007
2013,0,1197207.00,1958718.00,191780,128474,-0.166132,-0.0705519,-0.0889641,-0.0211049,19,10.1171,3,1.06053,-0.00607505,4mg000202,3123007
2014,0,3704961.00,1846264.00,716126,127855,2.09467,0.475941,-0.057412,0.0368046,18,9.32346,4,1.0271,-0.0143394,4mg000202,3123007
2004,0,None,34418.00,None,37000,None,None,None,None,1,1.0,2,1.87485,-6.75175e-06,4mg000203,3137403
2011,0,1475.00,None,17,None,None,None,None,None,0,None,0,None,None,4mg000204,3139102
2000,0,None,4261.00,None,16135,None,None,None,None,1,1.0,1,1.0,None,4mg000205,3144508
2005,0,3744.00,None,13,None,None,None,None,None,0,None,0,None,None,4mg000205,3144508
2006,0,5400.00,None,26,None,0.442308,None,None,None,0,None,0,None,None,4mg000205,3144508
2008,0,5956.00,None,23,None,None,None,None,None,0,None,0,None,None,4mg000205,3144508
2009,0,100050.00,None,185,None,15.7982,None,None,None,0,None,0,None,None,4mg000205,3144508
2010,0,670.00,12304575.00,9,377446,-0.993303,-0.291161,None,None,3,1.64751,2,1.55941,-1.45975,4mg000205,3144508
2011,0,1234444.00,28409326.00,30023,1116163,1841.45,1.96357,1.30884,None,4,2.55379,2,1.37824,-1.92158,4mg000205,3144508
2012,0,1722104.00,50914295.00,61022,2025974,0.395044,None,0.792168,None,5,3.34041,5,1.53286,-2.31176,4mg000205,3144508
2013,0,566700.00,41680949.00,20050,1035219,-0.670926,1.48702,-0.181351,None,4,2.26232,3,1.07104,-1.82523,4mg000205,3144508
2014,0,964.00,44540075.00,5,618305,-0.998299,-0.604841,0.0685955,None,2,1.35437,2,1.35437,-2.08696,4mg000205,3144508
2001,0,None,1100.00,None,5464,None,None,None,None,1,1.0,1,1.0,None,4mg000207,3152709
2004,0,None,19990.00,None,619,None,None,None,None,3,2.19933,1,1.0,-0.000157101,4mg000207,3152709
2005,0,None,142023.00,None,9671,None,None,6.1047,None,6,3.695,4,2.37996,-0.0138717,4mg000207,3152709
2006,0,None,241931.00,None,16683,None,None,0.703463,1.94076,6,2.36963,3,1.25945,0.000435719,4mg000207,3152709
2007,0,None,224809.00,None,12449,None,None,-0.0707722,None,4,2.02683,3,1.54619,-0.0199356,4mg000207,3152709
2008,0,None,103021.00,None,4226,None,None,-0.54174,None,8,3.49421,7,2.89203,-0.0175634,4mg000207,3152709
2009,0,None,14309.00,None,508,None,None,-0.861106,-0.064682,5,4.12615,1,1.0,-0.0136851,4mg000207,3152709
2010,0,None,12442.00,None,387,None,None,-0.130477,-0.385522,5,3.17438,3,2.54022,-0.00416117,4mg000207,3152709
2011,0,None,8680.00,None,338,None,None,-0.302363,-0.485997,3,2.77775,1,1.0,-0.00479191,4mg000207,3152709
2012,0,None,4104.00,None,109,None,None,-0.527189,-0.550967,2,1.95167,1,1.0,-0.00445665,4mg000207,3152709
2013,0,63322.00,29701.00,6221,546,None,None,6.23709,-0.220225,3,2.18384,2,1.57427,-0.0390497,4mg000207,3152709
2014,0,1767492.00,3395.00,95447,150,26.9128,None,-0.885694,-0.250026,2,1.99922,2,1.36471,-0.00557865,4mg000207,3152709
2000,0,25352.00,None,34,None,None,None,None,None,0,None,0,None,None,4mg000208,3154200
2012,0,None,6414.00,None,736,None,None,None,None,1,1.0,5,3.76488,-0.00354761,4mg000208,3154200
2013,0,None,2640.00,None,574,None,None,-0.5884,None,1,1.0,3,2.23088,-0.000953291,4mg000208,3154200
2014,0,58579.00,4130.00,477579,768,None,None,0.564394,None,1,1.0,5,2.77605,-0.00771758,4mg000208,3154200
2003,0,None,2736.00,None,956,None,None,None,None,1,1.0,2,1.70385,-6.86004e-07,4mg000210,3157336
2008,0,21553.00,None,805,None,None,None,None,None,0,None,0,None,None,4mg000210,3157336
2000,0,5254228.00,42564069.00,7377352,29656984,None,None,None,None,36,14.8781,17,3.68427,None,4mg000212,3162500
2001,0,5741105.00,47274237.00,4549503,22133983,0.0926639,None,0.110661,None,35,11.1784,23,4.35063,None,4mg000212,3162500
2002,0,4780568.00,34736707.00,4792521,19005814,-0.167309,None,-0.265209,None,41,13.5267,30,5.42665,-1.66188,4mg000212,3162500
2003,0,5955616.00,44311409.00,7419958,31080805,0.245797,None,0.275636,None,43,13.7664,22,4.24193,-2.18489,4mg000212,3162500
2004,0,9972975.00,58767660.00,7356754,33715172,0.67455,None,0.326242,None,46,14.3373,20,4.17178,-2.27768,4mg000212,3162500
2005,0,14633497.00,61105939.00,11543862,27008838,0.467315,0.227348,0.0397885,0.074999,38,13.5048,19,5.1341,-2.59651,4mg000212,3162500
2006,0,11218660.00,66825287.00,5227570,26780708,-0.233358,0.143376,0.0935973,0.0716754,38,15.8255,18,5.14212,-1.72401,4mg000212,3162500
2007,0,11284159.00,75703761.00,5484750,29706083,0.0058384,0.187402,0.132861,0.1686,40,15.4044,21,5.27664,-1.57411,4mg000212,3162500
2008,0,14332952.00,52765399.00,5451128,15979402,0.270183,0.192015,-0.303002,0.0355397,33,15.7038,15,6.79357,-0.492344,4mg000212,3162500
2009,0,9567665.00,39308189.00,3660187,9216898,-0.332471,-0.00826362,-0.255039,-0.0772821,33,8.97358,20,6.88085,-1.8093,4mg000212,3162500
2010,0,13567115.00,62868961.00,6027718,18172786,0.418017,-0.0150189,0.599386,0.00570491,33,12.4489,15,5.74912,-0.527214,4mg000212,3162500
2011,0,18951982.00,114518119.00,6986654,30316639,0.396906,0.110562,0.821537,0.113747,35,11.8832,15,3.63557,0.160238,4mg000212,3162500
2012,0,11623336.00,101194123.00,5193655,32258120,-0.386696,0.00594056,-0.116348,0.0597601,33,11.3232,13,3.27867,-0.345551,4mg000212,3162500
2013,0,14412378.00,89649467.00,5151673,24086927,0.239952,0.00110585,-0.114084,0.111833,30,10.2573,20,4.48928,-1.03476,4mg000212,3162500
2014,0,11061045.00,76413338.00,3593836,25564785,-0.232532,0.0294329,-0.147643,0.142187,25,7.99791,20,3.5623,-0.606328,4mg000212,3162500
2001,0,277000.00,453430.00,2000000,182037,None,None,None,None,3,2.21653,3,2.72183,None,4mg000213,3165008
2002,0,558247.00,3683633.00,5525085,219656,1.01533,None,7.12393,None,5,3.61077,3,1.9076,0.0318664,4mg000213,3165008
2003,0,1205873.00,8192275.00,5239216,683559,1.16011,None,1.22397,None,5,3.32788,2,1.99063,-0.0280392,4mg000213,3165008
2004,0,442588.00,1983363.00,2300057,78361,-0.632973,None,-0.757898,None,3,2.45233,4,2.75482,-2.92824,4mg000213,3165008
2005,0,328923.00,2961359.00,1750858,674350,-0.256819,None,0.4931,None,7,3.00969,6,2.1919,-1.83991,4mg000213,3165008
2006,0,70350.00,3640179.00,450000,1722653,-0.78612,-0.239749,0.229226,0.51678,8,3.37735,9,4.34175,-0.367454,4mg000213,3165008
2007,0,None,1023899.00,None,851420,None,None,-0.718723,-0.225902,6,5.76998,5,4.40753,-0.180121,4mg000213,3165008
2008,0,None,312032.00,None,589800,None,None,-0.695251,-0.479814,4,2.82381,2,1.13446,-0.00898953,4mg000213,3165008
2009,0,204120.00,41580.00,808000,75600,None,-0.143402,-0.866744,-0.538367,1,1.0,1,1.0,-0.00209824,4mg000213,3165008
2010,0,760950.00,311709.00,1950005,479600,2.72795,0.182639,6.49661,-0.362542,1,1.0,1,1.0,-0.00634322,4mg000213,3165008
2011,0,456300.00,1803831.00,1170000,98000,-0.400355,0.453441,4.78691,-0.13101,3,2.48584,4,3.08187,-0.0916035,4mg000213,3165008
2012,0,326480.00,193890.00,616000,109861,-0.284506,None,-0.892512,-0.283098,2,1.33701,2,1.33701,-0.0986088,4mg000213,3165008
2013,0,743120.00,1590663.00,1568000,263881,1.27616,None,7.20395,0.385083,5,3.85182,4,2.33406,-0.136996,4mg000213,3165008
2014,0,311360.00,280128.00,1120000,388800,-0.58101,0.0881166,-0.823892,0.464517,1,1.0,1,1.0,0.00547406,4mg000213,3165008
2000,0,None,66385.00,None,7650,None,None,None,None,2,1.95605,6,1.78892,None,4mg000214,3168804
2002,0,None,13351.00,None,7648,None,None,None,None,1,1.0,7,2.59783,-0.000929119,4mg000214,3168804
2003,0,4292.00,None,998,None,None,None,None,None,0,None,0,None,None,4mg000214,3168804
2004,0,None,28982.00,None,5000,None,None,None,None,1,1.0,3,1.48214,-0.000292114,4mg000214,3168804
2005,0,None,26502.00,None,4680,None,None,-0.0855704,-0.167773,1,1.0,6,2.21118,0.000196004,4mg000214,3168804
2007,0,6706.00,26159.00,440,6500,None,None,None,0.143988,1,1.0,3,1.15727,-3.75417e-05,4mg000214,3168804
2008,0,7239.00,32200.00,500,16500,0.0794811,0.110207,0.230934,None,1,1.0,8,3.94033,-0.000168582,4mg000214,3168804
2011,0,None,72716.00,None,18766,None,None,None,None,1,1.0,1,1.0,6.20219e-05,4mg000214,3168804
2012,0,53791.00,18693.00,13772,3697,None,0.516524,-0.742931,-0.0650001,1,1.0,1,1.0,7.24508e-06,4mg000214,3168804
2013,0,16061.00,1954.00,2653,9,-0.701418,0.172786,-0.895469,-0.429029,1,1.0,1,1.0,3.50653e-05,4mg000214,3168804
2014,0,70320.00,3109.00,19853,75,3.37831,None,0.591095,None,2,1.506,2,1.506,-0.00483787,4mg000214,3168804
2000,0,None,172209.00,None,40617,None,None,None,None,4,1.50477,3,2.0253,None,4mg010000,3103900
2001,0,None,144649.00,None,34479,None,None,-0.160038,None,6,2.45633,4,1.42684,None,4mg010000,3103900
2002,0,7196.00,155862.00,21900,46529,None,None,0.0775187,None,5,2.34416,4,1.84676,-0.0889986,4mg010000,3103900
2003,0,11025.00,103573.00,11325,20766,0.532101,None,-0.335483,None,6,4.67259,5,2.20511,-0.00508625,4mg010000,3103900
2004,0,3092.00,157156.00,20000,49207,-0.719546,None,0.517345,None,9,4.8407,6,2.53687,-0.00773322,4mg010000,3103900
2005,0,None,180075.00,None,45751,None,None,0.145836,0.00897293,6,4.02594,4,1.37769,-0.0106705,4mg010000,3103900
2006,0,None,79281.00,None,10258,None,None,-0.559733,-0.113312,6,4.35521,2,1.86838,-0.00265304,4mg010000,3103900
2007,0,None,196839.00,None,39453,None,None,1.4828,0.0477898,8,3.65077,4,1.63081,-0.00512278,4mg010000,3103900
2008,0,9437.00,1251.00,175,78,None,-0.0306267,-0.993645,-0.58657,2,1.59407,1,1.0,-5.76927e-05,4mg010000,3103900
2009,0,76539.00,11767.00,14894,311,7.11052,0.899891,8.40608,-0.40452,3,2.92003,2,1.75036,-0.000501717,4mg010000,3103900
2010,0,49759.00,187.00,1950,23,-0.349887,None,-0.984108,-0.746908,1,1.0,2,1.13113,-1.01035e-05,4mg010000,3103900
2011,0,208180.00,None,14987,None,3.18377,None,None,None,0,None,0,None,None,4mg010000,3103900
2013,0,108974.00,37263.00,3657,4424,None,0.631165,None,0.971533,2,1.2748,2,1.34919,-0.000496303,4mg010000,3103900
2014,0,33346.00,37281.00,1106,5338,-0.694,-0.1531,0.000483053,0.259402,4,1.54402,1,1.0,-0.000306038,4mg010000,3103900
2000,0,75368.00,4920467.00,88048,40534459,None,None,None,None,4,1.25371,6,1.44829,None,4mg010001,3107406
2001,0,82927.00,5658056.00,34353,47790487,0.100295,None,0.149902,None,7,3.66149,8,1.68956,None,4mg010001,3107406
2002,0,211002.00,6413436.00,42748,60529127,1.54443,None,0.133505,None,5,2.03372,6,1.16365,-0.00415022,4mg010001,3107406
2003,0,107664.00,8030800.00,75625,60615940,-0.489749,None,0.252184,None,10,2.46245,11,1.22138,-0.00396804,4mg010001,3107406
2004,0,549681.00,8545983.00,241492,45635495,4.10552,None,0.0641509,None,18,3.27759,13,1.53464,-0.00751541,4mg010001,3107406
2005,0,221377.00,36578395.00,85889,143229560,-0.597263,0.240478,3.28019,0.493632,13,1.37344,13,1.08268,-0.0129676,4mg010001,3107406
2006,0,22500.00,12825885.00,9600,49181275,-0.898363,-0.229634,-0.649359,0.177834,10,1.87083,10,1.07474,-0.0138205,4mg010001,3107406
2007,0,84663.00,12065041.00,12192,38660328,2.7628,-0.16693,-0.059321,0.134717,17,6.35009,7,1.17535,-0.00976793,4mg010001,3107406
2008,0,60138.00,18080566.00,64200,35512524,-0.289678,-0.109947,0.498591,0.176226,13,3.08108,7,1.14336,-0.00718201,4mg010001,3107406
2009,0,107430.00,15969133.00,392000,23403015,0.786391,-0.278555,-0.116779,0.133193,11,1.11987,5,1.11733,-0.0200003,4mg010001,3107406
