wage,num_emp,num_jobs,num_est,wage_avg,age_avg,wage_growth,wage_growth_5,num_emp_growth,num_emp_growth_5,year,bra_id,cbo_id,ibge_id
1089.92,4,4,3,272.48,37.5,None,None,None,None,2002,4mg050209,6,3146552
68391.71,276,276,70,247.80,35.721,None,None,None,None,2002,4mg050210,6,3152204
44204.83,189,189,14,233.89,30.397,None,None,None,None,2002,4mg050211,6,3154507
4903.59,21,21,6,233.50,39.905,None,None,None,None,2002,4mg050212,6,3166956
2630.41,12,12,2,219.20,41.75,None,None,None,None,2002,4mg050300,6,3108255
400.00,2,2,2,200.00,33.0,None,None,None,None,2002,4mg050301,6,3116159
2017.29,9,9,2,224.14,38.222,None,None,None,None,2002,4mg050303,6,3130051
92102.39,324,324,22,284.27,32.679,None,None,None,None,2002,4mg050304,6,3132107
43741.54,164,165,78,265.10,36.194,None,None,None,None,2002,4mg050305,6,3135209
1988.31,9,9,6,220.92,39.556,None,None,None,None,2002,4mg050306,6,3136959
25367.72,101,101,22,251.17,34.416,None,None,None,None,2002,4mg050307,6,3139300
125115.48,499,499,58,250.73,31.717,None,None,None,None,2002,4mg050308,6,3140852
5061.94,22,22,11,230.09,40.955,None,None,None,None,2002,4mg050310,6,3142700
25304.51,107,107,21,236.49,34.084,None,None,None,None,2002,4mg050311,6,3149150
426.39,2,2,2,213.20,24.5,None,None,None,None,2002,4mg050312,6,3150570
27389.93,118,118,64,232.12,34.551,None,None,None,None,2002,4mg050313,6,3161106
395.50,2,2,2,197.75,42.0,None,None,None,None,2002,4mg050314,6,3162450
21186.78,97,97,11,218.42,34.526,None,None,None,None,2002,4mg050315,6,3170529
8347.41,38,38,19,219.67,36.816,None,None,None,None,2002,4mg050400,6,3108602
989.50,5,5,2,197.90,47.4,None,None,None,None,2002,4mg050401,6,3111150
39633.67,150,150,56,264.22,37.087,None,None,None,None,2002,4mg050402,6,3112703
22218.99,100,100,28,222.19,36.19,None,None,None,None,2002,4mg050403,6,3116506
33418.42,150,150,37,222.79,33.367,None,None,None,None,2002,4mg050404,6,3118809
77984.44,363,363,161,214.83,34.061,None,None,None,None,2002,4mg050405,6,3126703
6091.74,30,30,15,203.06,42.467,None,None,None,None,2002,4mg050406,6,3127354
590.00,3,3,1,196.67,41.667,None,None,None,None,2002,4mg050407,6,3129657
19810.97,92,92,36,215.34,34.511,None,None,None,None,2002,4mg050409,6,3136801
200.00,1,1,1,200.00,31.0,None,None,None,None,2002,4mg050410,6,3138658
395.00,2,2,1,197.50,44.5,None,None,None,None,2002,4mg050411,6,3138682
11407.34,53,53,22,215.23,32.774,None,None,None,None,2002,4mg050412,6,3142007
423317.57,1781,1781,539,237.69,36.997,None,None,None,None,2002,4mg050413,6,3143302
843.51,4,4,4,210.88,36.5,None,None,None,None,2002,4mg050414,6,3147956
5197.70,22,22,11,236.26,33.682,None,None,None,None,2002,4mg050416,6,3162252
18851.58,81,81,31,232.74,34.901,None,None,None,None,2002,4mg050417,6,3162401
585.00,3,3,3,195.00,32.667,None,None,None,None,2002,4mg050418,6,3162658
6071.36,16,16,5,379.46,36.375,None,None,None,None,2002,4mg050419,6,3170008
14150.16,42,42,12,336.91,36.738,None,None,None,None,2002,4mg050420,6,3170909
22653.19,95,95,20,238.46,32.105,None,None,None,None,2002,4mg050421,6,3171030
164212.37,577,577,103,284.60,33.731,None,None,None,None,2002,4mg050500,6,3109402
10986.08,41,41,7,267.95,33.927,None,None,None,None,2002,4mg050501,6,3129608
11753.47,46,46,23,255.51,36.674,None,None,None,None,2002,4mg050502,6,3135605
4284.40,13,13,4,329.57,34.0,None,None,None,None,2002,4mg050503,6,3137304
77810.36,340,341,37,228.18,34.642,None,None,None,None,2002,4mg050504,6,3138104
164051.29,703,703,103,233.36,34.459,None,None,None,None,2002,4mg050505,6,3151206
12623.98,32,32,14,394.50,36.156,None,None,None,None,2002,4mg050506,6,3154457
1094.22,4,4,2,273.56,42.75,None,None,None,None,2002,4mg050507,6,3157609
24687.72,69,69,20,357.79,37.406,None,None,None,None,2002,4mg050508,6,3164209
107184.82,394,394,82,272.04,34.244,None,None,None,None,2002,4mg050509,6,3170800
27946.79,131,131,16,213.33,33.191,None,None,None,None,2002,4mg050600,6,3101003
1977.23,10,10,3,197.72,38.7,None,None,None,None,2002,4mg050601,6,3106655
7403.50,36,36,6,205.65,33.694,None,None,None,None,2002,4mg050602,6,3120870
185.49,1,1,1,185.49,48.0,None,None,None,None,2002,4mg050604,6,3127073
2051.01,12,12,4,170.92,33.0,None,None,None,None,2002,4mg050605,6,3130655
3035.19,13,13,6,233.48,35.923,None,None,None,None,2002,4mg050606,6,3143450
824.78,3,3,2,274.93,48.333,None,None,None,None,2002,4mg050607,6,3144656
1271.84,5,5,1,254.37,38.2,None,None,None,None,2002,4mg050608,6,3145372
45806.97,202,202,26,226.77,35.208,None,None,None,None,2002,4mg050609,6,3155603
5296.99,26,26,17,203.73,39.231,None,None,None,None,2002,4mg050610,6,3156502
37436.04,183,183,72,204.57,36.519,None,None,None,None,2002,4mg050611,6,3157005
342.93,1,1,1,342.93,26.0,None,None,None,None,2002,4mg050612,6,3157377
405.54,2,2,1,202.77,38.0,None,None,None,None,2002,4mg050613,6,3160454
182352.49,714,714,24,255.40,31.98,None,None,None,None,2002,4mg050614,6,3162708
103875.01,469,469,72,221.48,33.998,None,None,None,None,2002,4mg050615,6,3168002
14424.95,66,66,39,218.56,40.091,None,None,None,None,2002,4mg060000,6,3100807
116017.29,486,486,179,238.72,40.671,None,None,None,None,2002,4mg060001,6,3111200
19300.21,91,91,36,212.09,40.769,None,None,None,None,2002,4mg060002,6,3111903
82569.54,321,321,122,257.23,36.421,None,None,None,None,2002,4mg060003,6,3112000
70731.78,322,322,105,219.66,37.289,None,None,None,None,2002,4mg060004,6,3120201
84312.88,394,394,155,213.99,39.162,None,None,None,None,2002,4mg060005,6,3149903
13483.88,61,61,18,221.05,36.262,None,None,None,None,2002,4mg060006,6,3158805
56062.46,170,170,83,329.78,35.535,None,None,None,None,2002,4mg060100,6,3114204
57767.91,211,211,97,273.78,37.237,None,None,None,None,2002,4mg060101,6,3116605
44218.18,127,127,65,348.18,35.386,None,None,None,None,2002,4mg060102,6,3117603
257087.00,871,871,226,295.16,32.432,None,None,None,None,2002,4mg060103,6,3122306
56102.19,169,169,44,331.97,35.207,None,None,None,None,2002,4mg060104,6,3130200
101851.42,330,330,160,308.64,36.267,None,None,None,None,2002,4mg060105,6,3133808
68807.67,198,198,74,347.51,36.394,None,None,None,None,2002,4mg060106,6,3145208
26443.44,85,85,42,311.10,34.424,None,None,None,None,2002,4mg060107,6,3149705
63203.22,245,245,133,257.97,37.922,None,None,None,None,2002,4mg060108,6,3160405
29334.26,89,89,56,329.60,35.82,None,None,None,None,2002,4mg060109,6,3161809
86920.96,303,303,69,286.87,34.195,None,None,None,None,2002,4mg060110,6,3164605
31355.64,96,96,54,326.62,39.854,None,None,None,None,2002,4mg060200,6,3104205
11186.90,48,48,10,233.06,35.042,None,None,None,None,2002,4mg060201,6,3110400
4993.92,17,17,10,293.76,41.235,None,None,None,None,2002,4mg060202,6,3119955
